source,target
Age,age_at_diagnosis
Gender,gender
PT,ajcc_pathologic_t
PN,ajcc_pathologic_n
Stage,ajcc_pathologic_stage
Vascular_Invasion,vascular_invasion_present
Lymphatic_Invasion,burkitt_lymphoma_clinical_variant
Perineural_Invasion,perineural_invasion_present
Synchronous_Tumors,workflow_type
Vital.Status,vital_status
Tumor.Status,last_known_disease_status
