Type,Sample_id,participant,TOTAL_READS,PF_READS,READ_LENGTH,TOTAL_BASES,PF_BASES,Q20_BASES,PF_Q20_BASES,Q30_BASES,PF_Q30_BASES,Q20_EQUIVALENT_YIELD,PF_Q20_EQUIVALENT_YIELD
Normal,246_DN,14BR014,191186150,191186150,135,25971395075,25971395075,25841239469,25841239469,25401873416,25401873416,38602388381,38602388381
Tumor,247_DM,15BR003,199414060,199414060,135,27117181391,27117181391,26988123906,26988123906,26571547946,26571547946,40334065496,40334065496
Normal,247_DN,15BR003,186014352,186014352,136,25402092004,25402092004,25275087918,25275087918,24877252984,24877252984,37773432999,37773432999
Tumor,253_DM,18BR016,243080276,243080276,143,34828495586,34828495586,34591230637,34591230637,34088158161,34088158161,51742792744,51742792744
Normal,253_DN,18BR016,206037026,206037026,138,28614492797,28614492797,28472936373,28472936373,27951459768,27951459768,42515870251,42515870251
Tumor,254_DM,18BR017,242331748,242331748,142,34438880986,34438880986,34206140983,34206140983,33684343232,33684343232,51155735859,51155735859
Normal,254_DN,18BR017,246516534,246516534,141,34773740446,34773740446,34555177586,34555177586,34106003733,34106003733,51705103324,51705103324
Tumor,255_DM,18BR019,183982972,183982972,136,25191863443,25191863443,25063162699,25063162699,24629057752,24629057752,37438223967,37438223967
Normal,255_DN,18BR019,240238074,240238074,138,33258762810,33258762810,33082632400,33082632400,32473091478,32473091478,49401437077,49401437077
Tumor,256_DM,20BR001,234865884,234865884,140,32916067713,32916067713,32744750938,32744750938,32218128463,32218128463,48933957941,48933957941
Normal,256_DN,20BR001,240301262,240301262,140,33825039225,33825039225,33657317080,33657317080,33072601743,33072601743,50271880600,50271880600
Tumor,257_DM,20BR002,195253000,195253000,141,27589775516,27589775516,27448474079,27448474079,26983029633,26983029633,41006369040,41006369040
Normal,257_DN,20BR002,197487786,197487786,138,27255557417,27255557417,27127812582,27127812582,26671987874,26671987874,40523644866,40523644866
Tumor,258_DM,20BR005,241603002,241603002,139,33605078913,33605078913,33436406287,33436406287,32892610103,32892610103,49961912295,49961912295
Normal,258_DN,20BR005,265998242,265998242,139,37168469410,37168469410,36979941560,36979941560,36360260824,36360260824,55247923519,55247923519
Tumor,259_DM,20BR006,202958986,202958986,138,28134640014,28134640014,28000248142,28000248142,27621147532,27621147532,41872593750,41872593750
Normal,259_DN,20BR006,258564130,258564130,138,35694949709,35694949709,35517798197,35517798197,34962878826,34962878826,53082150844,53082150844
