Case,Tissue Type,Sample Aliquot ID,Uniquely mapped reads number,Uniquely mapped reads %,% of reads mapped to multiple loci,% of reads mapped to too many loci,% of reads unmapped: other,% of reads unmapped: too short,Insertion rate per base,"Mismatch rate per base, %",Number of input reads,Number of reads mapped to multiple loci,Number of reads mapped to too many loci,Number of splices: Total
C3N-01213,Primary Tumor,b8253e74-2592-462e-9e21-5937cc65e798,81045604.0,91.96,6.27,0.39,0.12,1.27,0.01,0.22,88134392.0,5525182.0,343319.0,17385134.0
C3L-01553,Primary Tumor,cf3e0964-5b63-4083-88be-e6b111e7a110,60047338.0,87.61,10.91,0.69,0.08,0.72,0.0,0.17,68541874.0,7479149.0,471652.0,16972808.0
C3L-00812,Primary Tumor,94abf4fb-3d8f-49c5-94ba-fede597f1f03,77309878.0,91.9,6.34,0.47,0.11,1.19,0.01,0.2,84127248.0,5333043.0,392464.0,17002465.0
C3L-00790,Primary Tumor,fd1efbfd-2a8f-44c5-bcc9-f18374d178ef,87626560.0,92.69,5.95,0.41,0.12,0.82,0.01,0.19,94536115.0,5625272.0,390984.0,18062897.0
C3N-00852,Primary Tumor,0567a339-a1ec-4a7e-a245-8574a9091cc1,94475470.0,92.17,5.29,0.43,0.11,2.0,0.01,0.21,102506312.0,5422468.0,442086.0,23913077.0
C3N-00852,Solid Tissue Normal,c8514bcf-57db-442b-b76d-8657982c6dc8,76629895.0,89.49,7.65,0.53,0.11,2.21,0.01,0.26,85625758.0,6553684.0,454949.0,13899970.0
C3N-00437,Primary Tumor,0cc646da-cd28-4839-a3ee-0403750b9afd,101117471.0,91.67,6.89,0.26,0.11,1.07,0.01,0.18,110303816.0,7598492.0,287911.0,25835152.0
C3N-00320,Primary Tumor,8738c4d1-d405-475f-9a02-630f7ec9a26d,68032096.0,93.09,5.38,0.43,0.1,0.99,0.01,0.22,73078725.0,3934584.0,317865.0,16174095.0
C3N-00305,Primary Tumor,ac0ea2af-9fd4-431c-a79d-4a197381f522,82443013.0,90.86,7.02,0.42,0.11,1.59,0.01,0.19,90735859.0,6368529.0,381127.0,18691514.0
C3N-00491,Solid Tissue Normal,29287986-403f-48e8-89fe-e65991fa9727,76916899.0,92.84,5.26,0.63,0.12,1.14,0.01,0.2,82846756.0,4361239.0,522969.0,15019985.0
C3N-00315,Primary Tumor,d1f23e30-8d2c-47aa-96af-a3c21b10203a,96461209.0,89.03,8.73,0.33,0.14,1.77,0.0,0.22,108347963.0,9457297.0,360249.0,23267256.0
C3N-00317,Primary Tumor,4e1883fe-7867-4204-8543-ee4e9c5378d0,80949922.0,92.23,6.3,0.36,0.1,1.0,0.01,0.2,87767176.0,5532743.0,313298.0,20060139.0
C3N-00491,Primary Tumor,130547b7-0c74-42ca-b572-b374621717ac,67688894.0,91.65,6.3,0.38,0.11,1.56,0.0,0.2,73857508.0,4652871.0,277198.0,16963186.0
C3N-00314,Primary Tumor,2115ca6a-507e-49b7-a1ad-91a21373a32e,53282867.0,91.07,6.53,0.55,0.12,1.72,0.01,0.18,58505169.0,3821327.0,322621.0,11374986.0
C3N-00380,Primary Tumor,1f28faad-eb1a-453c-908c-b1016641056e,87499520.0,89.38,5.62,0.42,0.1,4.47,0.01,0.22,97892284.0,5506365.0,406579.0,20378087.0
C3N-00310,Solid Tissue Normal,0db970d2-e74d-489a-81f1-acf5c6581772,84349561.0,92.27,5.7,0.63,0.12,1.28,0.01,0.19,91415407.0,5209303.0,577489.0,16391952.0
C3N-00390,Solid Tissue Normal,b55be229-a96e-4f1f-a147-395da0b008b3,82751257.0,93.37,5.2,0.31,0.12,1.0,0.01,0.21,88630031.0,4610627.0,276352.0,16387214.0
C3N-00312,Primary Tumor,68ebfe5b-e4b9-4a70-92f1-3a2a455e3934,94166190.0,91.85,5.23,0.42,0.14,2.37,0.01,0.2,102526293.0,5358280.0,431895.0,22002346.0
C3N-00494,Primary Tumor,313bd6bb-d242-4f5e-83d2-fc33e941df98,72330404.0,92.72,5.43,0.28,0.12,1.45,0.01,0.19,78005526.0,4233095.0,222304.0,17464641.0
C3N-00390,Primary Tumor,859a6c1b-29d8-4189-913f-8e84d91908df,120983199.0,92.78,5.37,0.33,0.11,1.41,0.01,0.24,130396936.0,7006471.0,433374.0,30933208.0
C3N-00494,Solid Tissue Normal,37b95732-7fab-4d4c-852f-1d430d2acdb6,66903616.0,91.07,5.54,0.4,0.14,2.86,0.01,0.24,73467884.0,4066872.0,292736.0,11388052.0
C3N-00310,Primary Tumor,0773eaae-dfd3-4ec4-a031-09bdcffe3e23,81093240.0,89.04,8.04,0.72,0.1,2.1,0.0,0.21,91077573.0,7324702.0,655202.0,23778420.0
