Case,Tissue Type,Sample Aliquot ID,Uniquely mapped reads number,Uniquely mapped reads %,% of reads mapped to multiple loci,% of reads mapped to too many loci,% of reads unmapped: other,% of reads unmapped: too short,Insertion rate per base,"Mismatch rate per base, %",Number of input reads,Number of reads mapped to multiple loci,Number of reads mapped to too many loci,Number of splices: Total
C3L-00096,Solid Tissue Normal,d2c260e2-32db-4c2b-a969-815c2b459e2d,91454218.0,92.73,5.7,0.45,0.11,1.0,0.01,0.21,98624145.0,5621192.0,445658.0,20608165.0
C3L-00902,Primary Tumor,5399457f-af35-4a63-b286-cb9d6253a0bf,85933302.0,92.52,6.29,0.23,0.09,0.87,0.01,0.23,92875891.0,5838574.0,213080.0,20358096.0
C3N-00646,Primary Tumor,73ba6cb2-5933-4c53-9012-7bccf41fb2be,78111571.0,93.07,5.12,0.29,0.11,1.41,0.01,0.23,83928489.0,4300186.0,240011.0,17255717.0
C3L-01836,Solid Tissue Normal,d67f5da3-1037-48ed-8a1d-9bfac58f4f3b,74695591.0,92.6,5.33,0.34,0.11,1.63,0.01,0.23,80667695.0,4300427.0,274033.0,16154419.0
C3L-00011,Primary Tumor,ae175b52-c84d-415a-99c2-c30182ad6c99,95984340.0,89.06,8.38,1.29,0.1,1.17,0.0,0.17,107778879.0,9030455.0,1390070.0,26340511.0
C3N-00177,Solid Tissue Normal,2f256d82-3292-46ed-895d-1dd93157b9cf,83074781.0,93.65,5.07,0.36,0.12,0.81,0.01,0.2,88709119.0,4496107.0,316270.0,17447302.0
C3N-01200,Solid Tissue Normal,2d6d11b2-7718-435d-a2a2-9f0cf3f8ab9b,87931672.0,93.86,4.95,0.32,0.11,0.76,0.01,0.2,93685184.0,4634534.0,302676.0,18586183.0
C3L-00011,Solid Tissue Normal,e04fbc84-8560-4ddd-9406-81537e5044e3,88921818.0,93.09,5.03,0.34,0.11,1.42,0.01,0.21,95519413.0,4799929.0,328332.0,20002284.0
C3N-01200,Primary Tumor,4a756680-4bd4-4b4e-a369-b9f0750a5f08,85253755.0,90.48,6.14,0.32,0.1,2.96,0.01,0.17,94222482.0,5789638.0,300625.0,21951425.0
C3N-00177,Primary Tumor,a4f95d10-ded6-4d2e-98e0-432dad710060,89834026.0,90.94,6.54,0.37,0.11,2.04,0.01,0.24,98783465.0,6456587.0,366904.0,23789163.0
C3N-01176,Primary Tumor,af2bfb03-b4a0-47f3-930a-a780c3dee2f1,78340008.0,87.58,9.25,0.57,0.1,2.5,0.0,0.17,89446947.0,8277891.0,505499.0,20971837.0
