Case,Sample Aliquot,Bam File,Total Reads,Proper Mapped Reads,Coverage,Cov_100x,Template Mean,Template SD
C3N-01646,CPT0088540001,CPT0088540001-wgs,497208449.0,0.79,19.73,,395.44,110.32
C3N-01646,CPT0088540001,CPT0088540001-wxs,321257047.0,0.96,170.34,0.84,,
C3N-01648,CPT0088550010,CPT0088550010-wgs,376588860.0,0.85,15.94,,376.3,110.47
C3N-01648,CPT0088550010,CPT0088550010-wxs,389671382.0,0.97,211.45,0.76,,
C3N-01648,CPT0088610002,CPT0088610002-wgs,442031186.0,0.82,18.08,,389.43,115.18
C3N-01648,CPT0088610002,CPT0088610002-wxs,388376549.0,0.97,190.82,0.86,,
C3N-01649,CPT0088630009,CPT0088630009-wgs,441680549.0,0.91,19.14,,360.0,134.25
C3N-01649,CPT0088630009,CPT0088630009-wxs,471992909.0,0.95,258.67,0.95,,
C3N-01649,CPT0088680009,CPT0088680009-wgs,424785935.0,0.9,18.65,,352.69,125.88
C3N-01649,CPT0088680009,CPT0088680009-wxs,299379853.0,0.94,174.23,0.87,,
C3N-01651,CPT0088690009,CPT0088690009-wgs,375431072.0,0.85,15.57,,380.27,110.46
C3N-01651,CPT0088690009,CPT0088690009-wxs,315187706.0,0.97,183.65,0.85,,
C3N-01651,CPT0088750002,CPT0088750002-wgs,485215224.0,0.82,19.74,,391.68,119.97
C3N-01651,CPT0088750002,CPT0088750002-wxs,338432785.0,0.97,170.3,0.86,,
C3N-01361,CPT0088760009,CPT0088760009-wgs,513404519.0,0.82,20.81,,391.1,115.94
C3N-01361,CPT0088760009,CPT0088760009-wxs,292167154.0,0.97,175.51,0.84,,
C3N-01361,CPT0088820002,CPT0088820002-wgs,411584608.0,0.82,16.94,,376.24,108.52
C3N-01361,CPT0088820002,CPT0088820002-wxs,352121828.0,0.97,184.75,0.89,,
C3N-01179,CPT0088900009,CPT0088900009-wgs,424101236.0,0.86,17.84,,375.8,114.88
C3N-01179,CPT0088900009,CPT0088900009-wxs,319411870.0,0.97,168.17,0.76,,
C3N-01179,CPT0088960002,CPT0088960002-wgs,418191925.0,0.82,17.16,,373.19,111.81
C3N-01179,CPT0088960002,CPT0088960002-wxs,402866887.0,0.97,205.47,0.83,,
C3N-01180,CPT0088970009,CPT0088970009-wgs,431874289.0,0.84,18.01,,362.56,104.84
C3N-01180,CPT0088970009,CPT0088970009-wxs,309991204.0,0.97,163.38,0.8,,
C3N-01180,CPT0089010002,CPT0089010002-wgs,423498252.0,0.83,17.51,,377.6,101.07
C3N-01180,CPT0089010002,CPT0089010002-wxs,377332692.0,0.96,187.73,0.85,,
C3N-00831,CPT0089020009,CPT0089020009-wgs,476765896.0,0.82,19.46,,360.46,108.44
C3N-00831,CPT0089020009,CPT0089020009-wxs,330355541.0,0.97,184.85,0.87,,
C3N-00831,CPT0089080002,CPT0089080002-wgs,413686286.0,0.83,16.96,,397.01,123.14
C3N-00831,CPT0089080002,CPT0089080002-wxs,402929208.0,0.97,198.19,0.9,,
C3N-01808,CPT0089460009,CPT0089460009-wgs,487397912.0,0.9,21.33,,355.78,137.1
C3N-01808,CPT0089460009,CPT0089460009-wxs,306828846.0,0.94,176.83,0.86,,
C3N-01808,CPT0091340002,CPT0091340002-wgs,394383262.0,0.9,17.47,,345.35,119.82
C3N-01808,CPT0091340002,CPT0091340002-wxs,432825125.0,0.94,228.34,0.93,,
C3L-01607,CPT0092160009,CPT0092160009-wgs,393054645.0,0.92,17.32,,325.96,121.65
C3L-01607,CPT0092160009,CPT0092160009-wxs,348133181.0,0.96,215.14,0.92,,
C3L-01861,CPT0092290008,CPT0092290008-wgs,445315082.0,0.9,19.6,,346.37,129.7
C3L-01861,CPT0092290008,CPT0092290008-wxs,376927597.0,0.93,206.54,0.92,,
C3L-01882,CPT0092730009,CPT0092730009-wgs,399359222.0,0.91,17.74,,354.14,137.07
C3L-01882,CPT0092730009,CPT0092730009-wxs,369564247.0,0.95,229.35,0.93,,
C3L-01885,CPT0092790009,CPT0092790009-wgs,450838741.0,0.92,20.19,,340.31,122.65
C3L-01885,CPT0092790009,CPT0092790009-wxs,343623199.0,0.96,208.59,0.91,,
C3L-01607,CPT0093750002,CPT0093750002-wgs,466144605.0,0.9,20.62,,326.33,114.05
C3L-01607,CPT0093750002,CPT0093750002-wxs,351714527.0,0.96,203.46,0.91,,
C3L-01861,CPT0093770002,CPT0093770002-wgs,462591145.0,0.9,19.99,,352.42,127.21
C3L-01861,CPT0093770002,CPT0093770002-wxs,396020078.0,0.96,230.91,0.93,,
C3L-01882,CPT0093820002,CPT0093820002-wgs,384799531.0,0.88,16.67,,365.21,134.85
C3L-01882,CPT0093820002,CPT0093820002-wxs,360686196.0,0.95,196.64,0.89,,
C3L-01885,CPT0093830002,CPT0093830002-wgs,368582456.0,0.9,16.29,,373.82,125.14
C3L-01885,CPT0093830002,CPT0093830002-wxs,394281381.0,0.96,212.45,0.91,,
