Case,Sample Aliquot,Bam File,Total Reads,Proper Mapped Reads,Coverage,Cov_100x,Template Mean,Template SD
C3L-00416,CPT0019870002,CPT0019870002-wgs,399585506.0,0.9,17.08,,348.17,103.69
C3L-00416,CPT0019870002,CPT0019870002-wxs,254845868.0,0.97,154.16,0.83,,
C3L-00448,CPT0019880002,CPT0019880002-wgs,363170806.0,0.89,15.64,,379.9,112.99
C3L-00448,CPT0019880002,CPT0019880002-wxs,253324214.0,0.96,153.98,0.82,,
C3L-00583,CPT0019900002,CPT0019900002-wgs,410873262.0,0.89,17.61,,374.34,111.54
C3L-00583,CPT0019900002,CPT0019900002-wxs,313008361.0,0.97,181.54,0.89,,
C3N-00168,CPT0019990009,CPT0019990009-wgs,421812996.0,0.91,18.43,,359.05,116.01
C3N-00168,CPT0019990009,CPT0019990009-wxs,281612465.0,0.95,173.11,0.79,,
C3N-00177,CPT0020120009,CPT0020120009-wgs,387988975.0,0.9,16.75,,349.61,106.76
C3N-00177,CPT0020120009,CPT0020120009-wxs,224188330.0,0.97,155.84,0.8,,
C3N-00168,CPT0020920002,CPT0020920002-wgs,480804489.0,0.9,20.89,,351.26,106.68
C3N-00168,CPT0020920002,CPT0020920002-wxs,256071461.0,0.96,150.84,0.81,,
C3N-00177,CPT0020940002,CPT0020940002-wgs,376660305.0,0.89,15.44,,383.26,112.96
C3N-00177,CPT0020940002,CPT0020940002-wxs,259080348.0,0.94,146.15,0.79,,
C3N-00380,CPT0021240009,CPT0021240009-wgs,378887455.0,0.9,16.21,,346.68,104.68
C3N-00380,CPT0021240009,CPT0021240009-wxs,307772038.0,0.96,183.57,0.77,,
C3N-00380,CPT0021300002,CPT0021300002-wgs,408468033.0,0.9,17.54,,362.08,107.18
C3N-00380,CPT0021300002,CPT0021300002-wxs,234847219.0,0.97,142.38,0.78,,
C3N-00435,CPT0022960002,CPT0022960002-wgs,385644269.0,0.9,16.33,,363.58,114.69
C3N-00435,CPT0022960002,CPT0022960002-wxs,301999994.0,0.96,170.33,0.84,,
C3L-00561,CPT0023350006,CPT0023350006-wgs,417409962.0,0.9,17.92,,351.82,110.56
C3L-00561,CPT0023350006,CPT0023350006-wxs,256246484.0,0.97,169.03,0.82,,
C3L-00917,CPT0023690006,CPT0023690006-wgs,445144111.0,0.89,19.14,,362.34,107.54
C3L-00917,CPT0023690006,CPT0023690006-wxs,211353679.0,0.96,133.9,0.74,,
C3L-00561,CPT0024550002,CPT0024550002-wgs,415910677.0,0.9,17.98,,357.09,100.44
C3L-00561,CPT0024550002,CPT0024550002-wxs,248492463.0,0.96,150.67,0.81,,
C3L-00917,CPT0024600002,CPT0024600002-wgs,372173883.0,0.88,15.67,,387.37,108.74
C3L-00917,CPT0024600002,CPT0024600002-wxs,295730864.0,0.96,169.39,0.86,,
C3N-00852,CPT0024670009,CPT0024670009-wgs,398272524.0,0.9,17.32,,355.97,104.72
C3N-00852,CPT0024670009,CPT0024670009-wxs,224440332.0,0.97,151.74,0.8,,
C3N-00852,CPT0024740002,CPT0024740002-wgs,414833857.0,0.89,17.43,,344.76,104.55
C3N-00852,CPT0024740002,CPT0024740002-wxs,245756108.0,0.96,150.28,0.81,,
C3L-00607,CPT0025050009,CPT0025050009-wgs,391062350.0,0.9,16.88,,345.69,101.27
C3L-00607,CPT0025050009,CPT0025050009-wxs,271739343.0,0.96,164.59,0.73,,
C3L-00610,CPT0025110009,CPT0025110009-wgs,420531437.0,0.91,18.2,,348.13,103.35
C3L-00610,CPT0025110009,CPT0025110009-wxs,217679387.0,0.96,144.53,0.77,,
C3L-00766,CPT0025170009,CPT0025170009-wgs,382931682.0,0.89,16.49,,355.51,106.71
C3L-00766,CPT0025170009,CPT0025170009-wxs,269673563.0,0.96,168.24,0.83,,
C3L-00799,CPT0025230009,CPT0025230009-wgs,398384888.0,0.91,17.25,,337.14,95.79
C3L-00799,CPT0025230009,CPT0025230009-wxs,237063734.0,0.97,158.24,0.76,,
C3L-00800,CPT0025290009,CPT0025290009-wgs,391755701.0,0.89,16.72,,347.29,103.15
C3L-00800,CPT0025290009,CPT0025290009-wxs,289246660.0,0.96,170.28,0.76,,
C3L-00812,CPT0025350009,CPT0025350009-wgs,485110208.0,0.9,21.01,,339.36,100.37
C3L-00812,CPT0025350009,CPT0025350009-wxs,233451580.0,0.97,145.85,0.77,,
C3N-00246,CPT0025580010,CPT0025580010-wgs,453972373.0,0.89,19.46,,347.62,104.08
C3N-00246,CPT0025580010,CPT0025580010-wxs,344036830.0,0.96,182.26,0.87,,
C3N-00733,CPT0025880009,CPT0025880009-wgs,404406520.0,0.9,17.38,,361.07,113.04
C3N-00733,CPT0025880009,CPT0025880009-wxs,288684613.0,0.97,188.49,0.85,,
C3L-00791,CPT0026410009,CPT0026410009-wgs,485196250.0,0.9,20.81,,347.54,106.3
C3L-00791,CPT0026410009,CPT0026410009-wxs,295337831.0,0.97,186.77,0.83,,
C3N-00246,CPT0028450002,CPT0028450002-wgs,618707410.0,0.89,25.54,,384.23,105.51
C3N-00246,CPT0028450002,CPT0028450002-wxs,259838300.0,0.96,153.39,0.82,,
C3N-00733,CPT0028480002,CPT0028480002-wgs,384940130.0,0.89,16.35,,375.45,118.71
C3N-00733,CPT0028480002,CPT0028480002-wxs,297171085.0,0.96,170.77,0.86,,
C3L-00607,CPT0029400002,CPT0029400002-wgs,373601739.0,0.89,16.13,,376.17,111.65
C3L-00607,CPT0029400002,CPT0029400002-wxs,292453312.0,0.96,169.97,0.86,,
C3L-00610,CPT0029410002,CPT0029410002-wgs,397127029.0,0.87,16.42,,381.02,119.86
C3L-00610,CPT0029410002,CPT0029410002-wxs,285078530.0,0.96,166.33,0.85,,
C3L-00766,CPT0029430002,CPT0029430002-wgs,444333489.0,0.9,18.89,,366.26,115.18
C3L-00766,CPT0029430002,CPT0029430002-wxs,335016353.0,0.96,190.5,0.91,,
C3L-00799,CPT0029440002,CPT0029440002-wgs,445065823.0,0.9,19.37,,374.29,115.57
C3L-00799,CPT0029440002,CPT0029440002-wxs,524223757.0,0.97,294.04,0.97,,
C3L-00800,CPT0029460002,CPT0029460002-wgs,390272727.0,0.89,16.19,,375.36,116.14
C3L-00800,CPT0029460002,CPT0029460002-wxs,250504830.0,0.96,143.5,0.78,,
C3L-00812,CPT0029480002,CPT0029480002-wgs,387389651.0,0.9,16.35,,381.0,114.2
C3L-00812,CPT0029480002,CPT0029480002-wxs,272221749.0,0.96,164.53,0.85,,
C3L-00791,CPT0029500002,CPT0029500002-wgs,468918637.0,0.89,19.98,,376.42,113.45
C3L-00791,CPT0029500002,CPT0029500002-wxs,331730093.0,0.96,183.73,0.89,,
C3L-00902,CPT0063320009,CPT0063320009-wgs,578384846.0,0.77,22.87,,379.07,111.78
C3L-00902,CPT0063320009,CPT0063320009-wxs,388678971.0,0.95,171.03,0.72,,
C3L-01302,CPT0063630006,CPT0063630006-wgs,475510213.0,0.79,18.13,,380.31,108.64
C3L-01302,CPT0063630006,CPT0063630006-wxs,317758841.0,0.96,155.96,0.69,,
C3L-00907,CPT0064370006,CPT0064370006-wgs,579530858.0,0.77,22.82,,389.24,112.55
C3L-00907,CPT0064370006,CPT0064370006-wxs,360023223.0,0.94,148.94,0.67,,
C3L-00902,CPT0065240002,CPT0065240002-wgs,519727529.0,0.84,21.58,,380.51,110.87
C3L-00902,CPT0065240002,CPT0065240002-wxs,341784643.0,0.97,181.36,0.89,,
C3L-01302,CPT0065290002,CPT0065290002-wgs,465953581.0,0.81,18.39,,398.72,119.4
C3L-01302,CPT0065290002,CPT0065290002-wxs,304134610.0,0.97,174.75,0.88,,
C3L-00907,CPT0065420002,CPT0065420002-wgs,523390003.0,0.81,21.35,,397.69,115.07
C3L-00907,CPT0065420002,CPT0065420002-wxs,353530720.0,0.96,191.59,0.83,,
C3N-00953,CPT0065430009,CPT0065430009-wgs,443935629.0,0.83,18.47,,381.66,112.5
C3N-00953,CPT0065430009,CPT0065430009-wxs,288969434.0,0.97,158.6,0.77,,
C3L-00790,CPT0065690009,CPT0065690009-wgs,442161924.0,0.83,18.41,,368.48,106.62
C3L-00790,CPT0065690009,CPT0065690009-wxs,422388566.0,0.93,165.45,0.75,,
C3L-00796,CPT0065750009,CPT0065750009-wgs,423676552.0,0.83,17.77,,373.55,111.73
C3L-00796,CPT0065750009,CPT0065750009-wxs,257074977.0,0.97,160.03,0.77,,
C3L-00814,CPT0065810009,CPT0065810009-wgs,490235157.0,0.87,20.78,,387.64,115.88
C3L-00814,CPT0065810009,CPT0065810009-wxs,350447778.0,0.97,205.92,0.9,,
C3L-00817,CPT0065870009,CPT0065870009-wgs,485509704.0,0.85,19.84,,397.25,121.53
C3L-00817,CPT0065870009,CPT0065870009-wxs,312876965.0,0.97,176.71,0.86,,
C3L-01553,CPT0065930009,CPT0065930009-wgs,577499850.0,0.87,24.49,,391.13,117.48
C3L-01553,CPT0065930009,CPT0065930009-wxs,228923737.0,0.97,145.09,0.77,,
C3L-00183,CPT0066470010,CPT0066470010-wgs,498984840.0,0.88,21.18,,379.78,113.21
C3L-00183,CPT0066470010,CPT0066470010-wxs,337044514.0,0.97,190.29,0.79,,
C3N-00150,CPT0066480009,CPT0066480009-wgs,440746629.0,0.83,18.28,,382.43,112.6
C3N-00150,CPT0066480009,CPT0066480009-wxs,361662186.0,0.96,182.38,0.79,,
C3L-00790,CPT0067650002,CPT0067650002-wgs,537022504.0,0.75,20.78,,394.46,119.23
C3L-00790,CPT0067650002,CPT0067650002-wxs,412267154.0,0.97,209.62,0.92,,
C3L-00796,CPT0067670002,CPT0067670002-wgs,516359436.0,0.81,20.85,,393.71,123.34
C3L-00796,CPT0067670002,CPT0067670002-wxs,382703768.0,0.97,196.22,0.89,,
C3L-00814,CPT0067690002,CPT0067690002-wgs,570379728.0,0.83,23.4,,380.08,113.92
C3L-00814,CPT0067690002,CPT0067690002-wxs,454698575.0,0.97,211.41,0.92,,
C3L-00817,CPT0067710002,CPT0067710002-wgs,477454390.0,0.81,19.15,,392.41,116.57
C3L-00817,CPT0067710002,CPT0067710002-wxs,283742599.0,0.96,165.06,0.85,,
C3L-01553,CPT0067730002,CPT0067730002-wgs,425042245.0,0.8,17.44,,400.02,118.88
C3L-01553,CPT0067730002,CPT0067730002-wxs,325390497.0,0.97,181.65,0.86,,
C3N-00573,CPT0069000006,CPT0069000006-wgs,409955402.0,0.85,17.26,,370.34,105.1
C3N-00573,CPT0069000006,CPT0069000006-wxs,275006443.0,0.97,158.35,0.74,,
C3N-00573,CPT0069090002,CPT0069090002-wgs,570651346.0,0.82,23.27,,378.17,110.07
C3N-00573,CPT0069090002,CPT0069090002-wxs,331918965.0,0.97,173.81,0.84,,
C3N-00577,CPT0069160006,CPT0069160006-wgs,496317084.0,0.83,20.85,,371.43,119.67
C3N-00577,CPT0069160006,CPT0069160006-wxs,364354448.0,0.96,185.74,0.76,,
C3N-00577,CPT0069270002,CPT0069270002-wgs,516329082.0,0.82,21.06,,381.86,115.71
C3N-00577,CPT0069270002,CPT0069270002-wxs,297563616.0,0.97,166.03,0.85,,
C3N-00953,CPT0070680002,CPT0070680002-wgs,449223284.0,0.8,17.93,,424.92,120.69
C3N-00953,CPT0070680002,CPT0070680002-wxs,433267795.0,0.97,210.92,0.87,,
C3L-00183,CPT0070990002,CPT0070990002-wgs,439501288.0,0.83,17.91,,387.17,115.61
C3L-00183,CPT0070990002,CPT0070990002-wxs,330604501.0,0.96,149.8,0.81,,
C3L-01352,CPT0071150010,CPT0071150010-wgs,472858095.0,0.83,19.28,,394.94,119.75
C3L-01352,CPT0071150010,CPT0071150010-wxs,453501418.0,0.96,194.41,0.71,,
C3N-00150,CPT0071650002,CPT0071650002-wgs,607682757.0,0.75,23.47,,390.95,112.9
C3N-00150,CPT0071650002,CPT0071650002-wxs,286558695.0,0.97,160.79,0.84,,
C3L-01352,CPT0071980002,CPT0071980002-wgs,413898679.0,0.83,17.22,,401.38,119.82
C3L-01352,CPT0071980002,CPT0071980002-wxs,355280422.0,0.97,182.22,0.78,,
C3N-01200,CPT0075130009,CPT0075130009-wgs,509805270.0,0.85,20.86,,389.0,112.32
C3N-01200,CPT0075130009,CPT0075130009-wxs,287595339.0,0.97,148.78,0.79,,
C3N-01200,CPT0075240001,CPT0075240001-wgs,447681960.0,0.83,18.18,,403.48,115.23
C3N-01200,CPT0075240001,CPT0075240001-wxs,348590434.0,0.98,193.76,0.88,,
C3N-01214,CPT0075560006,CPT0075560006-wgs,548613668.0,0.84,22.59,,393.61,116.36
C3N-01214,CPT0075560006,CPT0075560006-wxs,443980615.0,0.96,199.04,0.85,,
C3N-01214,CPT0075620002,CPT0075620002-wgs,488182069.0,0.83,20.17,,390.46,113.71
C3N-01214,CPT0075620002,CPT0075620002-wxs,324771384.0,0.97,186.68,0.73,,
C3N-01213,CPT0075720009,CPT0075720009-wgs,377545900.0,0.85,15.71,,376.43,110.77
C3N-01213,CPT0075720009,CPT0075720009-wxs,404700877.0,0.97,188.88,0.83,,
C3N-01213,CPT0075800002,CPT0075800002-wgs,380638772.0,0.85,16.04,,381.86,111.71
C3N-01213,CPT0075800002,CPT0075800002-wxs,313368100.0,0.97,177.71,0.86,,
C3N-01220,CPT0076330006,CPT0076330006-wgs,476509260.0,0.84,19.66,,378.79,121.64
C3N-01220,CPT0076330006,CPT0076330006-wxs,359994613.0,0.95,163.93,0.71,,
C3N-01220,CPT0076400002,CPT0076400002-wgs,400026022.0,0.84,16.78,,372.93,103.02
C3N-01220,CPT0076400002,CPT0076400002-wxs,362352740.0,0.96,182.24,0.87,,
C3N-01522,CPT0077110009,CPT0077110009-wgs,453865230.0,0.81,18.63,,365.37,105.24
C3N-01522,CPT0077110009,CPT0077110009-wxs,366881892.0,0.97,193.66,0.83,,
C3N-01522,CPT0077230002,CPT0077230002-wgs,492676446.0,0.82,19.98,,419.58,125.04
C3N-01522,CPT0077230002,CPT0077230002-wxs,365412991.0,0.97,203.09,0.8,,
C3N-01524,CPT0077310009,CPT0077310009-wgs,454272716.0,0.86,19.1,,342.53,106.34
C3N-01524,CPT0077310009,CPT0077310009-wxs,267343986.0,0.97,162.44,0.83,,
C3N-01524,CPT0077410002,CPT0077410002-wgs,411284870.0,0.82,16.99,,380.3,99.73
C3N-01524,CPT0077410002,CPT0077410002-wxs,312764523.0,0.96,164.39,0.79,,
C3N-01261,CPT0077490009,CPT0077490009-wgs,433113847.0,0.84,18.02,,361.24,102.11
C3N-01261,CPT0077490009,CPT0077490009-wxs,265900036.0,0.98,166.68,0.83,,
C3N-01261,CPT0077590002,CPT0077590002-wgs,515409195.0,0.84,21.36,,392.56,115.13
C3N-01261,CPT0077590002,CPT0077590002-wxs,316187961.0,0.97,173.96,0.85,,
C3N-00495,CPT0078510009,CPT0078510009-wgs,429947824.0,0.83,17.8,,363.8,100.31
C3N-00495,CPT0078510009,CPT0078510009-wxs,420502236.0,0.96,205.2,0.74,,
C3N-00495,CPT0078570002,CPT0078570002-wgs,417200257.0,0.8,16.94,,393.56,106.24
C3N-00495,CPT0078570002,CPT0078570002-wxs,340878484.0,0.97,187.42,0.88,,
C3N-01175,CPT0078660009,CPT0078660009-wgs,489996095.0,0.85,19.81,,366.06,103.53
C3N-01175,CPT0078660009,CPT0078660009-wxs,350197998.0,0.97,198.31,0.89,,
C3N-01175,CPT0078700002,CPT0078700002-wgs,487777623.0,0.82,19.72,,388.65,108.5
C3N-01175,CPT0078700002,CPT0078700002-wxs,288137743.0,0.97,159.63,0.81,,
C3N-00832,CPT0078800009,CPT0078800009-wgs,464181195.0,0.87,19.76,,373.95,108.81
C3N-00832,CPT0078800009,CPT0078800009-wxs,305633258.0,0.96,174.12,0.84,,
C3N-00832,CPT0078820002,CPT0078820002-wgs,432530814.0,0.8,17.54,,404.85,115.99
C3N-00832,CPT0078820002,CPT0078820002-wxs,316567699.0,0.96,165.63,0.76,,
C3N-00834,CPT0078830009,CPT0078830009-wgs,390592898.0,0.83,16.08,,366.88,108.33
C3N-00834,CPT0078830009,CPT0078830009-wxs,360706892.0,0.97,205.0,0.87,,
C3N-00834,CPT0078870002,CPT0078870002-wgs,441185580.0,0.81,17.87,,375.92,109.05
C3N-00834,CPT0078870002,CPT0078870002-wxs,295071618.0,0.96,162.57,0.79,,
C3N-01176,CPT0078930009,CPT0078930009-wgs,533546419.0,0.81,21.46,,382.78,111.83
C3N-01176,CPT0078930009,CPT0078930009-wxs,339325796.0,0.96,181.39,0.83,,
C3N-01176,CPT0078970002,CPT0078970002-wgs,437408409.0,0.8,17.69,,402.63,113.35
C3N-01176,CPT0078970002,CPT0078970002-wxs,370482707.0,0.97,206.33,0.82,,
C3N-01178,CPT0078990009,CPT0078990009-wgs,447573231.0,0.83,18.44,,363.79,107.17
C3N-01178,CPT0078990009,CPT0078990009-wxs,385371473.0,0.92,174.71,0.69,,
C3N-01178,CPT0079040002,CPT0079040002-wgs,426302554.0,0.81,17.15,,396.94,112.68
C3N-01178,CPT0079040002,CPT0079040002-wxs,306997557.0,0.97,160.69,0.8,,
C3N-00492,CPT0079180009,CPT0079180009-wgs,456835688.0,0.84,18.45,,348.6,100.66
C3N-00492,CPT0079180009,CPT0079180009-wxs,317519707.0,0.95,163.7,0.69,,
C3L-01288,CPT0079230009,CPT0079230009-wgs,441191522.0,0.88,18.84,,374.39,107.04
C3L-01288,CPT0079230009,CPT0079230009-wxs,415203769.0,0.97,237.08,0.93,,
