table_name,gt_micro_precision,gt_precision,gt_recall,gt_f1,gen_micro_precision,gen_precision,gen_recall,gen_f1
Wang,0.7894736842105263,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7840909090909091,0.5171957671957672,0.5845410628019324,0.5381728395061729
Cao,0.8636363636363636,0.76,0.76,0.76,0.9227642276422764,0.6047619047619047,0.6642857142857144,0.6182098765432099
Huang,0.8421052631578947,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8448275862068966,0.6875,0.701923076923077,0.6909722222222222
Krug,1.0,1.0,1.0,1.0,0.8651685393258427,0.5555555555555556,0.5398692810457517,0.5471167369901546
Dou,0.9444444444444444,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8994413407821229,0.782608695652174,0.7780178233864434,0.7801853171774767
Satpathy,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9278350515463918,0.6333333333333333,0.7286821705426356,0.6642570281124498
Gillette,0.7142857142857143,0.5588235294117647,0.5882352941176471,0.5686274509803921,0.8805970149253731,0.5515789473684211,0.5749751737835154,0.5588485777550672
Vasaikar,0.9166666666666666,0.875,0.9166666666666666,0.8888888888888888,0.8823529411764706,0.6764705882352942,0.6983408748114631,0.6822455009401021
Clark,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7954545454545454,0.6947368421052631,0.7241379310344828,0.69453044375645
