table_name,gt_micro_precision,gt_precision,gt_recall,gt_f1,gen_micro_precision,gen_precision,gen_recall,gen_f1
Wang,0.8333333333333334,0.75,0.75,0.75,0.7931034482758621,0.5370879120879122,0.6070234113712375,0.5588717948717948
Cao,0.9047619047619048,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.9325842696629213,0.625615763546798,0.6874123913652931,0.6396455133777649
Huang,0.8888888888888888,0.8,0.8,0.8,0.8596491228070176,0.717391304347826,0.7324414715719064,0.7210144927536232
Krug,1.0,1.0,1.0,1.0,0.8555555555555555,0.5555555555555556,0.5387596899224806,0.546470999301188
Dou,1.0,1.0,1.0,1.0,0.9044943820224719,0.8181818181818182,0.8133822699040091,0.8156482861400893
Satpathy,1.0,1.0,1.0,1.0,0.9217391304347826,0.59375,0.6821428571428572,0.6222014925373134
Gillette,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9076923076923077,0.6458823529411765,0.6426193118756937,0.6442033123929184
Vasaikar,0.9166666666666666,0.875,0.9166666666666666,0.8888888888888888,0.8823529411764706,0.6764705882352942,0.6983408748114631,0.6822455009401021
Clark,0.9285714285714286,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7954545454545454,0.7333333333333333,0.7629629629629631,0.7321937321937322
